Address,C.Ostan,Tedad.a,Gender,Age,Savad,InEdu,Edu,Faaliat,T.shaghel,T.M.S,T.O,S.Z,N.S,Masleh,oto,motor,do,radio,zabt,TV.S,TV.r,DVD,Pc,mobile,freeizer,yakhchal,yakhchal.f,gaz,jaro.b,m.lebas,charkh.kh,panke,cooler.a,cooler.g,m.zarf,microfer,ab.l,bargh,gaz.l,tel,internet,hamam,ashpazkhane,cooler.a.s,broodat.m,hararat.m,package,cooler.g.s,fazelab,sookht.p,sookht.g,sookht.ab,H_Khorakivadokhani,H_Noshidani,H_Pushak,H_Maskan,H_mobleman,H_behdasht,H_Hamlonaghl,H_Ertebatat,H_Tafrihat,H_Ghazayeamade,H_kalavakhadamat,D_Mozd,D_Azad,D_Motefaraghe,D_Yarane
10501058511,5,3,1,38,1,2,2,1,1,3,4,100,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1,4,14,24,8151700,NA,350000,3750000,695000,NA,2.00E+06,3.00E+05,NA,NA,360000,NA,1.81E+08,NA,16380000
10501058512,5,4,1,64,1,2,1,1,1,1,4,100,3,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,4,14,24,7021600,NA,NA,6845000,920000,510000,950000,730000,NA,NA,310000,NA,2.16E+08,NA,21840000
10501058513,5,3,1,58,1,2,1,1,2,3,4,70,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,4,14,24,6215000,2.00E+06,NA,6240000,540000,NA,150000,1.00E+06,NA,NA,540000,3.00E+07,1.60E+08,NA,16380000
10501058514,5,4,1,44,1,2,4,1,1,4,4,80,3,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,1,4,14,24,8296000,NA,NA,9100000,990000,NA,1280000,430000,NA,NA,1910000,348520000,NA,NA,21840000
10501058520,5,3,1,45,1,2,4,1,1,3,3,50,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,4,14,24,6446000,NA,6.00E+05,4690000,590000,1.00E+05,4.00E+05,120000,NA,NA,970000,1.00E+08,NA,31800000,14105000
10501058523,5,6,1,50,1,2,5,1,1,1,3,80,3,1,1,1,1,NA,1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,4,14,24,18501000,NA,4200000,9400000,3020000,2460000,1900000,7.00E+05,1.00E+06,NA,1590000,330450000,NA,2.14E+08,32760000
10501058612,5,4,1,44,1,2,4,1,1,1,3,80,3,1,1,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,4,14,24,16603000,NA,NA,5750000,1190000,7.00E+05,6.00E+05,850000,5.00E+05,1270000,1300000,NA,3.04E+08,NA,21840000
10501058613,5,6,1,59,1,2,1,1,1,1,3,80,3,1,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,4,14,24,11720000,NA,850000,7500000,1165000,410000,2.00E+06,1250000,NA,NA,1070000,1.80E+08,NA,NA,32760000
10501058617,5,5,1,71,1,2,1,3,1,1,4,110,3,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,4,14,24,12655000,NA,4200000,4150000,590000,1720000,2.00E+06,1600000,5.00E+05,2.00E+05,2510000,7.00E+07,NA,201600000,38220000
10501058620,5,6,1,53,1,2,2,1,1,1,3,70,3,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,4,14,24,6826000,NA,650000,8750000,735000,NA,1100000,930000,NA,140000,880000,1.00E+08,NA,4500000,32760000
10501058623,5,4,1,44,1,2,1,1,1,4,3,65,3,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1,4,14,24,7694000,1750000,NA,8215000,620000,50000,4.00E+05,2.00E+05,NA,NA,890000,NA,148500000,2700000,21840000
10501058707,5,3,1,49,1,2,4,1,1,1,4,90,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,4,14,24,7940000,NA,2100000,4510000,570000,1750000,1.00E+06,3.00E+05,NA,NA,1250000,NA,3.60E+08,392900000,16380000
10501058711,5,3,1,49,1,2,4,1,1,6,4,100,3,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,4,14,24,10568000,NA,NA,5990000,1310000,NA,4.00E+05,650000,280000,210000,570000,NA,1.70E+08,3.20E+07,16380000
10501058714,5,1,2,74,2,NA,NA,3,NA,6,3,60,3,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,4,14,24,5539500,NA,NA,3780000,860000,NA,150000,240000,NA,NA,80000,NA,NA,172750000,5460000
10501058715,5,2,1,33,1,2,6,1,1,6,4,100,3,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,4,14,24,17915000,NA,7800000,7450000,960000,NA,1800000,1020000,450000,1.00E+06,1470000,3.12E+08,NA,NA,10920000
